,V1
2020-01-01,20.174
2020-01-02,17.842
2020-01-03,16.736
2020-01-04,19.795
2020-01-05,19.871
2020-01-06,19.098
2020-01-07,19.152
2020-01-08,19.364
2020-01-09,20.748
2020-01-10,22.975
2020-01-11,26.326
2020-01-12,26.616
2020-01-13,26.168
2020-01-14,24.853
2020-01-15,22.351
2020-01-16,18.941
2020-01-17,17.339
2020-01-18,16.097
2020-01-19,15.446
2020-01-20,14.357
2020-01-21,13.284
2020-01-22,12.671
2020-01-23,12.342
2020-01-24,11.945
2020-01-25,11.534
2020-01-26,10.984
2020-01-27,11.103
2020-01-28,13.782
2020-01-29,14.925
2020-01-30,14.077
2020-01-31,14.383
2020-02-01,18.604
2020-02-02,29.076
2020-02-03,30.123
2020-02-04,41.893
2020-02-05,45.226
2020-02-06,41.159
2020-02-07,35.908
2020-02-08,30.177
2020-02-09,25.913
2020-02-10,35.272
2020-02-11,46.361
2020-02-12,44.713
2020-02-13,41.308
2020-02-14,42.933
2020-02-15,40.326
2020-02-16,38.18
2020-02-17,41.408
2020-02-18,38.165
2020-02-19,42.768
2020-02-20,45.4
2020-02-21,51.95
2020-02-22,52.612
2020-02-23,79.071
2020-02-24,135.131
2020-02-25,117.7
2020-02-26,106.353
2020-02-27,96.621
2020-02-28,86.729
2020-02-29,82.416
2020-03-01,87.782
2020-03-02,95.187
2020-03-03,96.458
2020-03-04,90.315
2020-03-05,82.644
2020-03-06,83.112
2020-03-07,77.047
2020-03-08,72.596
2020-03-09,69.87
2020-03-10,68.518
2020-03-11,87.925
2020-03-12,110.736
2020-03-13,100.772
2020-03-14,83.456
2020-03-15,68.912
2020-03-16,57.09
2020-03-17,45.025
2020-03-18,36.185
2020-03-19,29.548
2020-03-20,25.18
2020-03-21,21.271
2020-03-22,19.508
2020-03-23,18.118
2020-03-24,16.527
2020-03-25,15.075
2020-03-26,14.418
2020-03-27,13.185
2020-03-28,11.917
2020-03-29,11.575
2020-03-30,11.254
2020-03-31,10.96
2020-04-01,10.628
2020-04-02,10.331
2020-04-03,10.362
2020-04-04,9.691
2020-04-05,9.281
2020-04-06,9.138
2020-04-07,9.576
2020-04-08,9.798
2020-04-09,9.799
2020-04-10,9.977
2020-04-11,9.896
2020-04-12,9.738
2020-04-13,9.796
2020-04-14,9.938
2020-04-15,10.16
2020-04-16,10.095
2020-04-17,10.25
2020-04-18,10.405
2020-04-19,11.128
2020-04-20,10.235
2020-04-21,10.355
2020-04-22,10.393
2020-04-23,10.939
2020-04-24,11.615
2020-04-25,11.513
2020-04-26,11.469
2020-04-27,11.469
2020-04-28,11.621
2020-04-29,11.909
2020-04-30,11.695
2020-05-01,12.317
2020-05-02,12.139
2020-05-03,11.292
2020-05-04,9.721
2020-05-05,10.55
2020-05-06,11.084
2020-05-07,11.568
2020-05-08,12.047
2020-05-09,11.898
2020-05-10,11.866
2020-05-11,11.996
2020-05-12,11.72
2020-05-13,11.492
2020-05-14,11.387
2020-05-15,11.305
2020-05-16,11.547
2020-05-17,11.747
2020-05-18,12.169
2020-05-19,12.153
2020-05-20,12.019
2020-05-21,12.007
2020-05-22,12.414
2020-05-23,12.787
2020-05-24,12.404
2020-05-25,12.521
2020-05-26,12.236
2020-05-27,11.432
2020-05-28,12.118
2020-05-29,12.622
2020-05-30,13.019
2020-05-31,12.988
2020-06-01,12.94
2020-06-02,12.867
2020-06-03,96.458
2020-06-04,90.315
2020-06-05,82.644
2020-06-06,83.112
2020-06-07,77.047
2020-06-08,72.596
2020-06-09,69.87
2020-06-10,68.518
2020-06-11,87.925
2020-06-12,110.736
2020-06-13,100.772
2020-06-14,83.456
2020-06-15,68.912
2020-06-16,13.966
2020-06-17,14.223
2020-06-18,16.786
2020-06-19,13.196
2020-06-20,13.832
2020-06-21,12.386
2020-06-22,13.422
2020-06-23,13.13
2020-06-24,12.534
2020-06-25,13.72
2020-06-26,14.024
2020-06-27,13.996
2020-06-28,14.263
2020-06-29,13.437
2020-06-30,13.157
2020-07-01,15.183
2020-07-02,15.562
2020-07-03,13.436
2020-07-04,12.159
2020-07-05,12.176
2020-07-06,12.338
2020-07-07,14.47
2020-07-08,12.546
2020-07-09,12.319
2020-07-10,12.169
2020-07-11,12.008
2020-07-12,11.564
2020-07-13,12.201
2020-07-14,12.588
2020-07-15,13.898
2020-07-16,12.278
2020-07-17,11.971
2020-07-18,12.054
2020-07-19,12.136
2020-07-20,12.236
2020-07-21,12.125
2020-07-22,12.394
2020-07-23,12.556
2020-07-24,12.352
2020-07-25,11.932
2020-07-26,14.531
2020-07-27,13.082
2020-07-28,12.063
2020-07-29,12.082
2020-07-30,12.569
2020-07-31,13.444
2020-08-01,14.164
2020-08-02,14.132
2020-08-03,13.353
2020-08-04,13.078
2020-08-05,12.592
2020-08-06,12.13
2020-08-07,12.411
2020-08-08,13.174
2020-08-09,13.163
2020-08-10,14.288
2020-08-11,12.954
2020-08-12,11.424
2020-08-13,11.577
2020-08-14,11.882
2020-08-15,11.091
2020-08-16,11.211
2020-08-17,10.556
2020-08-18,9.838
2020-08-19,9.595
2020-08-20,8.891
2020-08-21,9.928
2020-08-22,9.98
2020-08-23,10.427
2020-08-24,10.534
2020-08-25,10.055
2020-08-26,9.74
2020-08-27,9.699
2020-08-28,9.754
2020-08-29,9.613
2020-08-30,9.506
2020-08-31,9.555
2020-09-01,10.106
2020-09-02,10.299
2020-09-03,10.419
2020-09-04,10.966
2020-09-05,10.306
2020-09-06,9.704
2020-09-07,9.381
2020-09-08,9.372
2020-09-09,9.476
2020-09-10,9.533
2020-09-11,9.525
2020-09-12,9.605
2020-09-13,9.538
2020-09-14,9.92
2020-09-15,9.728
2020-09-16,10.008
2020-09-17,10.014
2020-09-18,10.084
2020-09-19,9.999
2020-09-20,10.004
2020-09-21,10.002
2020-09-22,9.978
2020-09-23,10.169
2020-09-24,10.018
2020-09-25,10.153
2020-09-26,10.273
2020-09-27,12.709
2020-09-28,9.994
2020-09-29,9.327
2020-09-30,9.281
2020-10-01,9.161
2020-10-02,9.092
2020-10-03,9.386
2020-10-04,9.121
2020-10-05,8.722
2020-10-06,9.331
2020-10-07,9.946
2020-10-08,9.602
2020-10-09,9.322
2020-10-10,8.454
2020-10-11,7.973
2020-10-12,8.161
2020-10-13,8.503
2020-10-14,9.184
2020-10-15,9.563
2020-10-16,9.667
2020-10-17,9.151
2020-10-18,8.87
2020-10-19,9.034
2020-10-20,9.127
2020-10-21,8.749
2020-10-22,9.27
2020-10-23,10.872
2020-10-24,10.018
2020-10-25,8.639
2020-10-26,8.687
2020-10-27,8.701
2020-10-28,8.518
2020-10-29,9.559
2020-10-30,9.789
2020-10-31,8.671
2020-11-01,8.556
2020-11-02,8.649
2020-11-03,9.163
2020-11-04,8.668
2020-11-05,8.5
2020-11-06,8.844
2020-11-07,8.815
2020-11-08,8.763
2020-11-09,9.099
2020-11-10,8.938
2020-11-11,9.469
2020-11-12,9.026
2020-11-13,8.837
2020-11-14,8.803
2020-11-15,8.816
2020-11-16,9.091
2020-11-17,9.074
2020-11-18,8.961
2020-11-19,9.163
2020-11-20,9.526
2020-11-21,9.167
2020-11-22,9.328
2020-11-23,9.873
2020-11-24,9.423
2020-11-25,8.82
2020-11-26,8.731
2020-11-27,8.778
2020-11-28,8.922
2020-11-29,8.868
2020-11-30,8.93
2020-12-01,9.81
2020-12-02,8.881
2020-12-03,8.391
2020-12-04,8.793
2020-12-05,9.17
2020-12-06,8.846
2020-12-07,8.475
2020-12-08,7.647
2020-12-09,7.185
2020-12-10,7.304
2020-12-11,7.816
2020-12-12,7.984
2020-12-13,7.838
2020-12-14,7.88
2020-12-15,7.868
2020-12-16,7.997
2020-12-17,7.615
2020-12-18,7.341
2020-12-19,7.224
2020-12-20,8.789
2020-12-21,9.733
2020-12-22,10.477
2020-12-23,12.572
2020-12-24,16.882
2020-12-25,17.484
2020-12-26,15.975
2020-12-27,15.795
2020-12-28,21.939
2020-12-29,19.665
2020-12-30,17.125
2020-12-31,15.383
